freq_MHz,alpha_dBmm_eta0.5,c_phase_eta0.5,alpha_dBmm_eta2.0,c_phase_eta2.0,alpha_dBmm_eta10.0,c_phase_eta10.0,alpha_dBmm_eta50.0,c_phase_eta50.0
20.148297,-3121.090347,352.2831,-1560.591405,704.5872,-697.923206,1575.5172,-312.121240,3522.9692
20.246493,-3128.687303,353.1406,-1564.389771,706.3021,-699.621874,1579.3519,-312.880906,3531.5437
20.344689,-3136.265857,353.9960,-1568.178937,708.0128,-701.316427,1583.1772,-313.638732,3540.0974
20.442886,-3143.826143,354.8494,-1571.958968,709.7195,-703.006896,1586.9933,-314.394731,3548.6305
20.541082,-3151.368290,355.7007,-1575.729933,711.4220,-704.693309,1590.8003,-315.148917,3557.1431
20.639279,-3158.892431,356.5499,-1579.491894,713.1205,-706.375696,1594.5982,-315.901302,3565.6354
20.737475,-3166.398692,357.3972,-1583.244916,714.8149,-708.054086,1598.3870,-316.651900,3574.1076
20.835671,-3173.887201,358.2424,-1586.989063,716.5054,-709.728506,1602.1669,-317.400722,3582.5597
20.933868,-3181.358083,359.0857,-1590.724397,718.1918,-711.398986,1605.9379,-318.147782,3590.9919
21.032064,-3188.811462,359.9269,-1594.450980,719.8743,-713.065552,1609.7001,-318.893092,3599.4043
21.130261,-3196.247460,360.7663,-1598.168874,721.5529,-714.728232,1613.4535,-319.636664,3607.7971
21.228457,-3203.666199,361.6036,-1601.878139,723.2276,-716.387053,1617.1982,-320.378510,3616.1705
21.326653,-3211.067797,362.4391,-1605.578835,724.8984,-718.042042,1620.9342,-321.118643,3624.5245
21.424850,-3218.452374,363.2726,-1609.271020,726.5654,-719.693225,1624.6617,-321.857073,3632.8593
21.523046,-3225.820047,364.1042,-1612.954754,728.2285,-721.340629,1628.3806,-322.593813,3641.1750
21.621242,-3233.170930,364.9339,-1616.630094,729.8879,-722.984279,1632.0910,-323.328875,3649.4718
21.719439,-3240.505138,365.7617,-1620.297097,731.5435,-724.624200,1635.7930,-324.062269,3657.7498
21.817635,-3247.822784,366.5877,-1623.955819,733.1954,-726.260419,1639.4867,-324.794007,3666.0090
21.915832,-3255.123979,367.4118,-1627.606318,734.8435,-727.892959,1643.1720,-325.524100,3674.2497
22.014028,-3262.408835,368.2340,-1631.248646,736.4880,-729.521847,1646.8491,-326.252560,3682.4720
22.112224,-3269.677461,369.0544,-1634.882861,738.1288,-731.147105,1650.5181,-326.979396,3690.6759
22.210421,-3276.929963,369.8730,-1638.509014,739.7660,-732.768759,1654.1788,-327.704621,3698.8616
22.308617,-3284.166450,370.6898,-1642.127161,741.3995,-734.386831,1657.8315,-328.428244,3707.0293
22.406814,-3291.387026,371.5048,-1645.737353,743.0295,-736.001347,1661.4762,-329.150276,3715.1790
22.505010,-3298.591797,372.3181,-1649.339642,744.6559,-737.612328,1665.1129,-329.870728,3723.3109
22.603206,-3305.780866,373.1295,-1652.934081,746.2787,-739.219799,1668.7417,-330.589610,3731.4250
22.701403,-3312.954334,373.9392,-1656.520721,747.8980,-740.823781,1672.3625,-331.306931,3739.5216
22.799599,-3320.112303,374.7471,-1660.099612,749.5138,-742.424299,1675.9756,-332.022704,3747.6006
22.897796,-3327.254873,375.5533,-1663.670803,751.1262,-744.021373,1679.5809,-332.736936,3755.6623
22.995992,-3334.382144,376.3578,-1667.234346,752.7351,-745.615027,1683.1785,-333.449639,3763.7067
23.094188,-3341.494212,377.1605,-1670.790288,754.3406,-747.205281,1686.7684,-334.160821,3771.7339
23.192385,-3348.591175,377.9616,-1674.338678,755.9426,-748.792159,1690.3506,-334.870493,3779.7441
23.290581,-3355.673128,378.7609,-1677.879563,757.5413,-750.375680,1693.9253,-335.578665,3787.7374
23.388778,-3362.740167,379.5586,-1681.412992,759.1366,-751.955867,1697.4925,-336.285345,3795.7138
23.486974,-3369.792385,380.3546,-1684.939012,760.7285,-753.532740,1701.0522,-336.990543,3803.6735
23.585170,-3376.829875,381.1489,-1688.457667,762.3171,-755.106320,1704.6045,-337.694268,3811.6166
23.683367,-3383.852729,381.9416,-1691.969006,763.9025,-756.676628,1708.1493,-338.396530,3819.5432
23.781563,-3390.861038,382.7327,-1695.473072,765.4845,-758.243683,1711.6869,-339.097338,3827.4533
23.879760,-3397.854892,383.5221,-1698.969911,767.0633,-759.807507,1715.2171,-339.796700,3835.3471
23.977956,-3404.834379,384.3098,-1702.459568,768.6388,-761.368118,1718.7401,-340.494626,3843.2248
24.076152,-3411.799589,385.0960,-1705.942087,770.2111,-762.925538,1722.2559,-341.191124,3851.0863
24.174349,-3418.750609,385.8806,-1709.417510,771.7803,-764.479784,1725.7645,-341.886203,3858.9317
24.272545,-3425.687524,386.6636,-1712.885883,773.3462,-766.030877,1729.2660,-342.579872,3866.7613
24.370741,-3432.610421,387.4450,-1716.347246,774.9089,-767.578836,1732.7604,-343.272139,3874.5751
24.468938,-3439.519383,388.2248,-1719.801643,776.4686,-769.123679,1736.2478,-343.963013,3882.3731
24.567134,-3446.414495,389.0031,-1723.249115,778.0250,-770.665425,1739.7282,-344.652502,3890.1555
24.665331,-3453.295840,389.7798,-1726.689704,779.5784,-772.204094,1743.2016,-345.340615,3897.9223
24.763527,-3460.163500,390.5549,-1730.123451,781.1287,-773.739702,1746.6681,-346.027359,3905.6737
24.861723,-3467.017556,391.3286,-1733.550397,782.6759,-775.272269,1750.1278,-346.712743,3913.4098
24.959920,-3473.858089,392.1007,-1736.970581,784.2201,-776.801812,1753.5807,-347.396774,3921.1306
25.058116,-3480.685178,392.8713,-1740.384044,785.7612,-778.328349,1757.0267,-348.079462,3928.8362
25.156313,-3487.498903,393.6403,-1743.790825,787.2994,-779.851899,1760.4660,-348.760813,3936.5267
25.254509,-3494.299341,394.4079,-1747.190964,788.8345,-781.372477,1763.8986,-349.440835,3944.2022
25.352705,-3501.086570,395.1740,-1750.584498,790.3666,-782.890103,1767.3246,-350.119537,3951.8629
25.450902,-3507.860667,395.9386,-1753.971467,791.8958,-784.404792,1770.7439,-350.796926,3959.5087
25.549098,-3514.621707,396.7017,-1757.351908,793.4220,-785.916561,1774.1566,-351.473009,3967.1398
25.647295,-3521.369766,397.4634,-1760.725859,794.9453,-787.425429,1777.5628,-352.147794,3974.7562
25.745491,-3528.104919,398.2236,-1764.093357,796.4657,-788.931410,1780.9625,-352.821289,3982.3580
