h2_um,eta2_Pas,T_abs
21.2929,0.174753,0.00000033
21.7879,0.174753,0.00000024
22.2828,0.174753,0.00000018
22.7778,0.174753,0.00000013
23.2727,0.174753,0.00000010
23.7677,0.174753,0.00000007
24.2626,0.174753,0.00000005
24.7576,0.174753,0.00000004
25.2525,0.174753,0.00000003
25.7475,0.174753,0.00000002
26.2424,0.174753,0.00000002
26.7374,0.174753,0.00000001
27.2323,0.174753,0.00000001
27.7273,0.174753,0.00000001
28.2222,0.174753,0.00000000
28.7172,0.174753,0.00000000
29.2121,0.174753,0.00000000
29.7071,0.174753,0.00000000
30.2020,0.174753,0.00000000
30.6970,0.174753,0.00000000
31.1919,0.174753,0.00000000
31.6869,0.174753,0.00000000
32.1818,0.174753,0.00000000
32.6768,0.174753,0.00000000
33.1717,0.174753,0.00000000
33.6667,0.174753,0.00000000
34.1616,0.174753,0.00000000
34.6566,0.174753,0.00000000
