h2_um,E2_Pa,T_abs
24.7576,174.75,0.00540941
25.2525,174.75,0.00495084
25.7475,174.75,0.00453116
26.2424,174.75,0.00414705
26.7374,174.75,0.00379549
27.2323,174.75,0.00347374
27.7273,174.75,0.00317925
28.2222,174.75,0.00290972
28.7172,174.75,0.00266303
29.2121,174.75,0.00243726
29.7071,174.75,0.00223062
30.2020,174.75,0.00204150
30.6970,174.75,0.00186841
31.1919,174.75,0.00170999
31.6869,174.75,0.00156500
32.1818,174.75,0.00143231
32.6768,174.75,0.00131087
33.1717,174.75,0.00119972
33.6667,174.75,0.00109799
34.1616,174.75,0.00100490
34.6566,174.75,0.00091969
35.1515,174.75,0.00084171
35.6465,174.75,0.00077034
36.1414,174.75,0.00070503
36.6364,174.75,0.00064525
37.1313,174.75,0.00059054
37.6263,174.75,0.00054047
38.1212,174.75,0.00049464
38.6162,174.75,0.00045270
39.1111,174.75,0.00041432
39.6061,174.75,0.00037919
40.1010,174.75,0.00034704
40.5960,174.75,0.00031761
41.0909,174.75,0.00029068
41.5859,174.75,0.00026603
42.0808,174.75,0.00024348
42.5758,174.75,0.00022283
43.0707,174.75,0.00020394
43.5657,174.75,0.00018665
44.0606,174.75,0.00017082
44.5556,174.75,0.00015634
45.0505,174.75,0.00014308
45.5455,174.75,0.00013095
46.0404,174.75,0.00011985
46.5354,174.75,0.00010969
47.0303,174.75,0.00010039
47.5253,174.75,0.00009187
48.0202,174.75,0.00008408
48.5152,174.75,0.00007696
49.0101,174.75,0.00007043
49.5051,174.75,0.00006446
50.0000,174.75,0.00005899
1.0000,191.79,0.67451334
1.4949,191.79,0.49611388
1.9899,191.79,0.39128120
2.4848,191.79,0.32287066
2.9798,191.79,0.27481059
3.4747,191.79,0.23916718
3.9697,191.79,0.21160449
4.4646,191.79,0.18956073
4.9596,191.79,0.17142764
5.4545,191.79,0.15614638
5.9495,191.79,0.14299347
6.4444,191.79,0.13146066
6.9394,191.79,0.12118405
7.4343,191.79,0.11190027
7.9293,191.79,0.10341824
8.4242,191.79,0.09560003
8.9192,191.79,0.08834711
9.4141,191.79,0.08159010
9.9091,191.79,0.07528071
10.4040,191.79,0.06938534
10.8990,191.79,0.06388001
11.3939,191.79,0.05874648
11.8889,191.79,0.05396941
12.3838,191.79,0.04953443
12.8788,191.79,0.04542699
13.3737,191.79,0.04163178
13.8687,191.79,0.03813261
14.3636,191.79,0.03491252
14.8586,191.79,0.03195406
15.3535,191.79,0.02923963
15.8485,191.79,0.02675174
16.3434,191.79,0.02447339
16.8384,191.79,0.02238818
17.3333,191.79,0.02048055
17.8283,191.79,0.01873587
18.3232,191.79,0.01714047
18.8182,191.79,0.01568167
19.3131,191.79,0.01434776
19.8081,191.79,0.01312800
20.3030,191.79,0.01201254
20.7980,191.79,0.01099234
21.2929,191.79,0.01005919
21.7879,191.79,0.00920556
22.2828,191.79,0.00842460
22.7778,191.79,0.00771007
23.2727,191.79,0.00705626
23.7677,191.79,0.00645798
24.2626,191.79,0.00591047
24.7576,191.79,0.00540941
25.2525,191.79,0.00495085
25.7475,191.79,0.00453116
26.2424,191.79,0.00414705
26.7374,191.79,0.00379549
27.2323,191.79,0.00347374
27.7273,191.79,0.00317925
28.2222,191.79,0.00290972
28.7172,191.79,0.00266303
29.2121,191.79,0.00243726
29.7071,191.79,0.00223062
30.2020,191.79,0.00204150
30.6970,191.79,0.00186841
31.1919,191.79,0.00170999
31.6869,191.79,0.00156500
32.1818,191.79,0.00143231
32.6768,191.79,0.00131087
33.1717,191.79,0.00119972
33.6667,191.79,0.00109799
34.1616,191.79,0.00100490
34.6566,191.79,0.00091969
35.1515,191.79,0.00084171
35.6465,191.79,0.00077034
36.1414,191.79,0.00070503
36.6364,191.79,0.00064525
37.1313,191.79,0.00059054
37.6263,191.79,0.00054047
38.1212,191.79,0.00049464
38.6162,191.79,0.00045270
39.1111,191.79,0.00041432
39.6061,191.79,0.00037919
40.1010,191.79,0.00034704
40.5960,191.79,0.00031761
41.0909,191.79,0.00029068
41.5859,191.79,0.00026604
42.0808,191.79,0.00024348
42.5758,191.79,0.00022283
43.0707,191.79,0.00020394
43.5657,191.79,0.00018665
44.0606,191.79,0.00017082
44.5556,191.79,0.00015634
45.0505,191.79,0.00014308
45.5455,191.79,0.00013095
46.0404,191.79,0.00011985
46.5354,191.79,0.00010969
47.0303,191.79,0.00010039
47.5253,191.79,0.00009187
48.0202,191.79,0.00008408
48.5152,191.79,0.00007696
49.0101,191.79,0.00007043
49.5051,191.79,0.00006446
50.0000,191.79,0.00005899
1.0000,210.49,0.67451332
1.4949,210.49,0.49611388
1.9899,210.49,0.39128119
2.4848,210.49,0.32287066
2.9798,210.49,0.27481059
3.4747,210.49,0.23916718
3.9697,210.49,0.21160449
4.4646,210.49,0.18956073
4.9596,210.49,0.17142765
5.4545,210.49,0.15614638
5.9495,210.49,0.14299347
6.4444,210.49,0.13146066
6.9394,210.49,0.12118405
7.4343,210.49,0.11190027
7.9293,210.49,0.10341825
8.4242,210.49,0.09560004
8.9192,210.49,0.08834712
9.4141,210.49,0.08159011
9.9091,210.49,0.07528072
10.4040,210.49,0.06938534
10.8990,210.49,0.06388001
11.3939,210.49,0.05874648
11.8889,210.49,0.05396942
12.3838,210.49,0.04953444
12.8788,210.49,0.04542699
13.3737,210.49,0.04163178
13.8687,210.49,0.03813261
14.3636,210.49,0.03491252
14.8586,210.49,0.03195407
15.3535,210.49,0.02923963
15.8485,210.49,0.02675175
16.3434,210.49,0.02447339
16.8384,210.49,0.02238818
17.3333,210.49,0.02048055
17.8283,210.49,0.01873587
18.3232,210.49,0.01714047
18.8182,210.49,0.01568167
19.3131,210.49,0.01434776
19.8081,210.49,0.01312801
20.3030,210.49,0.01201254
20.7980,210.49,0.01099234
21.2929,210.49,0.01005919
21.7879,210.49,0.00920556
22.2828,210.49,0.00842461
22.7778,210.49,0.00771007
23.2727,210.49,0.00705626
23.7677,210.49,0.00645798
24.2626,210.49,0.00591047
24.7576,210.49,0.00540941
25.2525,210.49,0.00495085
25.7475,210.49,0.00453116
26.2424,210.49,0.00414705
26.7374,210.49,0.00379550
27.2323,210.49,0.00347374
27.7273,210.49,0.00317925
28.2222,210.49,0.00290972
