freq_MHz,T_h4_330um_fres_10.0MHz,T_h4_165um_fres_19.9MHz,T_h4_110um_fres_29.9MHz,T_h4_82um_fres_40.1MHz,T_h4_66um_fres_49.8MHz
26.028507,0.01643248,0.01261613,0.15886752,0.01832425,0.01356367
26.053263,0.01715386,0.01278664,0.17527804,0.01911200,0.01395587
26.078020,0.01795753,0.01297455,0.17745714,0.01998648,0.01438345
26.102776,0.01885675,0.01318108,0.16402060,0.02096147,0.01485049
26.127532,0.01986783,0.01340761,0.14328698,0.02205381,0.01536177
26.152288,0.02101103,0.01365568,0.12286093,0.02328436,0.01592286
26.177044,0.02231185,0.01392710,0.10560948,0.02467924,0.01654041
26.201800,0.02380282,0.01422391,0.09175410,0.02627155,0.01722228
26.226557,0.02552598,0.01454843,0.08073026,0.02810387,0.01797791
26.251313,0.02753674,0.01490337,0.07190289,0.03023186,0.01881873
26.276069,0.02990938,0.01529182,0.06474940,0.03272958,0.01975866
26.300825,0.03274581,0.01571736,0.05887485,0.03569762,0.02081486
26.325581,0.03618932,0.01618418,0.05398783,0.03927574,0.02200870
26.350338,0.04044735,0.01669716,0.04987351,0.04366339,0.02336715
26.375094,0.04583022,0.01726202,0.04637222,0.04915365,0.02492468
26.399850,0.05282004,0.01788556,0.04336388,0.05619152,0.02672604
26.424606,0.06219711,0.01857585,0.04075695,0.06547609,0.02883038
26.449362,0.07527430,0.01934257,0.03848074,0.07813785,0.03131738
26.474119,0.09429112,0.02019742,0.03647999,0.09600597,0.03429685
26.498875,0.12264381,0.02115468,0.03471092,0.12168891,0.03792403
26.523631,0.16130258,0.02223193,0.03313852,0.15617376,0.04242496
26.548387,0.18838583,0.02345104,0.03173447,0.18582775,0.04813996
26.573143,0.16788126,0.02483962,0.03047565,0.17841752,0.05560104
26.597899,0.12906247,0.02643291,0.02934304,0.14384954,0.06567308
26.622656,0.09928197,0.02827661,0.02832083,0.11207888,0.07980805
26.647412,0.07923720,0.03043105,0.02739581,0.08939917,0.10041682
26.672168,0.06551686,0.03297734,0.02655687,0.07358355,0.13064889
26.696924,0.05573357,0.03602708,0.02579458,0.06224797,0.16805648
26.721680,0.04847812,0.03973761,0.02510094,0.05383695,0.18335715
26.746437,0.04291546,0.04433728,0.02446907,0.04739466,0.15495298
26.771193,0.03853226,0.05016843,0.02389308,0.04232485,0.11858244
26.795949,0.03499981,0.05776306,0.02336787,0.03824350,0.09202584
26.820705,0.03209942,0.06797904,0.02288904,0.03489479,0.07403752
26.845461,0.02968065,0.08223879,0.02245274,0.03210275,0.06154721
26.870218,0.02763692,0.10285668,0.02205564,0.02974292,0.05252085
26.894974,0.02589078,0.13273034,0.02169482,0.02772496,0.04575067
26.919730,0.02438465,0.16927736,0.02136773,0.02598189,0.04051067
26.944486,0.02307494,0.18507570,0.02107215,0.02446304,0.03634816
26.969242,0.02192802,0.15839392,0.02080612,0.02312944,0.03296960
26.993998,0.02091759,0.12213320,0.02056794,0.02195060,0.03017763
27.018755,0.02002278,0.09498955,0.02035614,0.02090240,0.02783522
27.043511,0.01922685,0.07641549,0.02016941,0.01996547,0.02584456
27.068267,0.01851620,0.06346371,0.02000665,0.01912411,0.02413404
27.093023,0.01787970,0.05408712,0.01986689,0.01836548,0.02265017
27.117779,0.01730815,0.04704941,0.01974933,0.01767894,0.02135218
27.142536,0.01679389,0.04160146,0.01965329,0.01705564,0.02020852
27.167292,0.01633051,0.03727425,0.01957821,0.01648813,0.01919436
27.192048,0.01591259,0.03376292,0.01952366,0.01597013,0.01828994
27.216804,0.01553553,0.03086224,0.01948931,0.01549629,0.01747935
27.241560,0.01519541,0.02842959,0.01947493,0.01506203,0.01674960
27.266317,0.01488890,0.02636312,0.01948041,0.01466342,0.01609002
27.291073,0.01461312,0.02458827,0.01950574,0.01429705,0.01549176
27.315829,0.01436559,0.02304931,0.01955099,0.01395996,0.01494742
27.340585,0.01414420,0.02170378,0.01961635,0.01364959,0.01445076
27.365341,0.01394709,0.02051880,0.01970212,0.01336367,0.01399649
27.390098,0.01377269,0.01946854,0.01980867,0.01310024,0.01358008
27.414854,0.01361964,0.01853241,0.01993652,0.01285755,0.01319768
27.439610,0.01348677,0.01769383,0.02008630,0.01263407,0.01284594
27.464366,0.01337309,0.01693930,0.02025875,0.01242844,0.01252197
27.489122,0.01327776,0.01625770,0.02045475,0.01223947,0.01222324
27.513878,0.01320007,0.01563983,0.02067533,0.01206608,0.01194757
27.538635,0.01313944,0.01507799,0.02092168,0.01190734,0.01169301
27.563391,0.01309542,0.01456567,0.02119516,0.01176241,0.01145788
27.588147,0.01306766,0.01409739,0.02149733,0.01163054,0.01124067
27.612903,0.01305591,0.01366845,0.02182997,0.01151107,0.01104007
27.637659,0.01306003,0.01327482,0.02219509,0.01140344,0.01085491
27.662416,0.01307995,0.01291304,0.02259501,0.01130711,0.01068414
27.687172,0.01311572,0.01258010,0.02303232,0.01122164,0.01052684
27.711928,0.01316747,0.01227339,0.02351001,0.01114665,0.01038219
27.736684,0.01323544,0.01199062,0.02403146,0.01108179,0.01024945
27.761440,0.01331996,0.01172980,0.02460056,0.01102676,0.01012799
27.786197,0.01342146,0.01148918,0.02522173,0.01098134,0.01001720
27.810953,0.01354047,0.01126719,0.02590004,0.01094530,0.00991660
27.835709,0.01367765,0.01106248,0.02664136,0.01091851,0.00982571
27.860465,0.01383379,0.01087384,0.02745244,0.01090083,0.00974413
27.885221,0.01400980,0.01070019,0.02834112,0.01089219,0.00967152
27.909977,0.01420675,0.01054058,0.02931654,0.01089254,0.00960757
27.934734,0.01442586,0.01039418,0.03038936,0.01090187,0.00955200
27.959490,0.01466856,0.01026022,0.03157217,0.01092022,0.00950459
27.984246,0.01493648,0.01013805,0.03287982,0.01094765,0.00946514
28.009002,0.01523149,0.01002708,0.03433002,0.01098426,0.00943351
28.033758,0.01555574,0.00992679,0.03594393,0.01103020,0.00940956
28.058515,0.01591168,0.00983672,0.03774712,0.01108566,0.00939321
28.083271,0.01630215,0.00975647,0.03977058,0.01115085,0.00938438
28.108027,0.01673039,0.00968568,0.04205226,0.01122606,0.00938306
28.132783,0.01720018,0.00962407,0.04463891,0.01131159,0.00938923
28.157539,0.01771587,0.00957137,0.04758860,0.01140781,0.00940292
28.182296,0.01828251,0.00952737,0.05097392,0.01151515,0.00942420
28.207052,0.01890603,0.00949190,0.05488619,0.01163408,0.00945315
28.231808,0.01959336,0.00946481,0.05944063,0.01176516,0.00948989
28.256564,0.02035268,0.00944602,0.06478241,0.01190899,0.00953458
28.281320,0.02119371,0.00943546,0.07109245,0.01206629,0.00958739
28.306077,0.02212805,0.00943310,0.07858936,0.01223782,0.00964857
28.330833,0.02316966,0.00943895,0.08751805,0.01242447,0.00971836
28.355589,0.02433549,0.00945305,0.09810118,0.01262724,0.00979707
