freq_MHz,T_t0,T_t1,T_t2,T_t3,T_t4,T_t5
22.855904,0.00548857,0.05137434,0.11658233,0.19441062,0.29101303,0.41627501
22.859907,0.00544899,0.05102945,0.11582003,0.19315485,0.28916505,0.41371987
22.863909,0.00541008,0.05069030,0.11507028,0.19191947,0.28734628,0.41120319
22.867912,0.00537184,0.05035678,0.11433282,0.19070405,0.28555617,0.40872429
22.871915,0.00533425,0.05002875,0.11360739,0.18950820,0.28379415,0.40628250
22.875917,0.00529729,0.04970612,0.11289376,0.18833153,0.28205970,0.40387717
22.879920,0.00526095,0.04938876,0.11219167,0.18717366,0.28035228,0.40150767
22.883923,0.00522521,0.04907657,0.11150089,0.18603421,0.27867139,0.39917338
22.887925,0.00519007,0.04876944,0.11082121,0.18491283,0.27701653,0.39687367
22.891928,0.00515551,0.04846727,0.11015239,0.18380916,0.27538721,0.39460797
22.895931,0.00512152,0.04816995,0.10949423,0.18272286,0.27378295,0.39237567
22.899933,0.00508808,0.04787740,0.10884651,0.18165360,0.27220331,0.39017622
22.903936,0.00505519,0.04758951,0.10820903,0.18060105,0.27064781,0.38800905
22.907939,0.00502283,0.04730620,0.10758159,0.17956489,0.26911603,0.38587362
22.911941,0.00499100,0.04702737,0.10696400,0.17854482,0.26760754,0.38376939
22.915944,0.00495968,0.04675293,0.10635607,0.17754053,0.26612190,0.38169584
22.919947,0.00492885,0.04648281,0.10575761,0.17655174,0.26465872,0.37965245
22.923949,0.00489852,0.04621691,0.10516845,0.17557815,0.26321759,0.37763873
22.927952,0.00486867,0.04595516,0.10458842,0.17461948,0.26179812,0.37565418
22.931955,0.00483929,0.04569748,0.10401734,0.17367547,0.26039993,0.37369832
22.935957,0.00481037,0.04544379,0.10345505,0.17274585,0.25902265,0.37177069
22.939960,0.00478191,0.04519401,0.10290138,0.17183035,0.25766592,0.36987082
22.943963,0.00475389,0.04494808,0.10235619,0.17092874,0.25632937,0.36799826
22.947965,0.00472631,0.04470592,0.10181931,0.17004075,0.25501267,0.36615258
22.951968,0.00469915,0.04446747,0.10129061,0.16916615,0.25371547,0.36433334
22.955971,0.00467242,0.04423265,0.10076992,0.16830471,0.25243745,0.36254012
22.959973,0.00464609,0.04400141,0.10025712,0.16745620,0.25117827,0.36077250
22.963976,0.00462017,0.04377367,0.09975205,0.16662039,0.24993762,0.35903009
22.967979,0.00459465,0.04354937,0.09925459,0.16579706,0.24871521,0.35731249
22.971981,0.00456951,0.04332846,0.09876461,0.16498601,0.24751071,0.35561931
22.975984,0.00454475,0.04311087,0.09828198,0.16418702,0.24632385,0.35395016
22.979987,0.00452037,0.04289655,0.09780656,0.16339990,0.24515432,0.35230469
22.983989,0.00449636,0.04268544,0.09733824,0.16262444,0.24400186,0.35068253
22.987992,0.00447271,0.04247748,0.09687690,0.16186045,0.24286618,0.34908331
22.991995,0.00444941,0.04227262,0.09642242,0.16110774,0.24174702,0.34750670
22.995997,0.00442647,0.04207081,0.09597469,0.16036613,0.24064411,0.34595235
23.000000,0.00440386,0.04187200,0.09553360,0.15963544,0.23955719,0.34441993
